Zack and Miri Make a Porno,2008,The Weinstein Company,41.94 
Youth in Revolt,2010,The Weinstein Company,19.62 
You Will Meet a Tall Dark Stranger,2010,Independent,26.66 
When in Rome,2010,Disney,43.04 
What Happens in Vegas,2008,Fox,219.37 
Water For Elephants,2011,20th Century Fox,117.09 
WALL-E,2008,Disney,521.28 
Waitress,2007,Independent,22.18 
Waiting For Forever,2011,Independent,0.03 
Valentine's Day,2010,Warner Bros.,217.57 
Tyler Perry's Why Did I get Married,2007,Independent,55.86 
Twilight: Breaking Dawn,2011,Independent,702.17 
Twilight,2008,Summit,376.66 
The Ugly Truth,2009,Independent,205.30 
The Twilight Saga: New Moon,2009,Summit,709.82 
The Time Traveler's Wife,2009,Paramount,101.33 
The Proposal,2009,Disney,314.70 
The Invention of Lying,2009,Warner Bros.,32.40 
The Heartbreak Kid,2007,Paramount,127.77 
The Duchess,2008,Paramount,43.31 
The Curious Case of Benjamin Button,2008,Warner Bros.,285.43 
The Back-up Plan,2010,CBS,77.09 
Tangled,2010,Disney,355.01 
Something Borrowed,2011,Independent,60.18 
She's Out of My League,2010,Paramount,48.81 
Sex and the City Two,2010,Warner Bros.,288.35 
Sex and the City 2,2010,Warner Bros.,288.35 
Sex and the City,2008,Warner Bros.,415.25 
Remember Me,2010,Summit,55.86 
Rachel Getting Married,2008,Independent,16.61 
Penelope,2008,Summit,20.74 
P.S. I Love You,2007,Independent,153.09 
Over Her Dead Body,2008,New Line,20.71 
Our Family Wedding,2010,Independent,21.37 
One Day,2011,Independent,55.24 
Not Easily Broken,2009,Independent,10.70 
No Reservations,2007,Warner Bros.,92.60 
Nick and Norah's Infinite Playlist,2008,Sony,33.53 
New Year's Eve,2011,Warner Bros.,142.04 
My Week with Marilyn,2011,The Weinstein Company,8.26 
Music and Lyrics,2007,Warner Bros.,145.90 
Monte Carlo,2011,20th Century Fox,39.66 
Miss Pettigrew Lives for a Day,2008,Independent,15.17 
Midnight in Paris,2011,Sony,148.66 
Marley and Me,2008,Fox,206.07 
Mamma Mia!,2008,Universal,609.47 
Mamma Mia!,2008,Universal,609.47 
Made of Honor,2008,Sony,105.96 
Love Happens,2009,Universal,36.08 